,GEOID,TRACT,area_tiger,fid_1906_f,fid_export,id,id_1,objectid,shape_area,shape_len,multigeom,area_layer,geometry,area,percent_overlay
0,06075017700,017700,1434598.3668318787,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"MULTIPOLYGON (((-13626651.73893294 4546972.609902318, -13626589.4797 4547034.432800001, -13626564.19376543 4547013.989243675, -13626628.12302119 4546949.624718958, -13626651.73893294 4546972.609902318)), ((-13627399.89598697 4546083.076933291, -13627435.0625 4546080.094700002, -13627452.317 4546306.948, -13627487.3827 4546760.669500001, -13627486.4921 4547046.543899998, -13627645.1224 4547733.942, -13627587.7929 4547780.277099996, -13627237.9157 4547421.994800001, -13626894.9403 4547074.005099996, -13626868.54879688 4547047.730988502, -13626877.6873022 4547034.648245199, -13626921.34057025 4546980.547352592, -13626957.47020134 4546891.637154286, -13626984.60515911 4546786.647927723, -13627129.91639133 4546775.596011708, -13627131.62998639 4546715.990151606, -13627179.9237048 4546706.603039948, -13627199.36229538 4546675.982783102, -13627264.47017713 4546671.286538615, -13627261.56725267 4546610.904907176, -13627308.32610593 4546608.264416283, -13627312.95063275 4546534.969512716, -13627425.7895756 4546526.35163574, -13627399.89598697 4546083.076933291)))",477425.4636393712,0.3327938151035975
1,06075017601,017601,1009239.5024995421,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627466.5659 4547914.777000002, -13627319.2902 4548040.687399998, -13626993.4581 4548374.202399998, -13626902.5101 4548465.188399999, -13626656.2714 4548709.8407, -13626502.2052 4548856.747500001, -13626407.8063 4548959.851099998, -13626335.1146 4549042.109399996, -13626180.4918 4549204.515100001, -13625807.1263 4548852.662799998, -13626054.8121 4548604.908600003, -13626142.3093 4548517.301600001, -13626302.6093 4548356.878499999, -13626550.6292 4548108.7135, -13626797.6471 4547861.399400003, -13626970.7489 4547688.311199998, -13627237.9157 4547421.994800001, -13627587.7929 4547780.277099996, -13627466.5659 4547914.777000002), (-13626205.39375802 4548749.052990016, -13626275.52686957 4548822.69994976, -13626357.13457092 4548739.848921293, -13626280.57126008 4548664.424067924, -13626205.39375802 4548749.052990016), (-13626616.27693482 4548340.621273665, -13626718.93931458 4548446.827378254, -13626798.12179384 4548362.739114606, -13626695.53448197 4548260.225366428, -13626616.27693482 4548340.621273665))",980546.7853875596,0.9715699622924782
2,06075010400,010400,539015.1166013554,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13625787.90809943 4551205.06654276, -13625775.1776 4551123.8543, -13626134.0716 4551065.670199997, -13626176.2617 4551328.5577, -13626195.7426 4551453.241499997, -13626370.6255 4551432.249399997, -13626732.3026 4551375.754199997, -13626772.0436 4551369.414399996, -13626942.5851 4551518.612899996, -13627161.7732 4551709.939599997, -13626794.8641 4551769.254399999, -13626433.1871 4551826.174400002, -13626243.1647 4551849.8442, -13626081.6401 4551881.967600003, -13626051.41436678 4551692.524283447, -13626290.74509799 4551663.744273699, -13626287.50252961 4551594.750289859, -13626211.18896876 4551605.749779995, -13626179.49867137 4551405.928148813, -13626074.42377234 4551419.83407316, -13626044.51961193 4551287.10669024, -13625976.3985041 4551293.589368519, -13625959.46650433 4551187.659414758, -13625886.32613771 4551186.585105592, -13625801.74517864 4551208.204145045, -13625787.90809943 4551205.06654276))",398842.21179456497,0.7399462454956353
3,06075013102,013102,381719.2713959772,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13628182.23402382 4549956.576115998, -13628022.7181 4549982.068899998, -13628001.4561 4549852.613399996, -13628161.47773428 4549826.890043199, -13628164.07613104 4549843.124870334, -13628180.13453917 4549943.458545753, -13628182.23402382 4549956.576115998))",21239.369694218236,0.05564133457696333
4,06075016802,016802,328045.21070163994,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13628114.08130835 4547677.392393797, -13627660.7071 4547750.278999998, -13627657.9241 4547719.013400001, -13627965.72209119 4547404.84089018, -13627968.82920204 4547444.440657899, -13627980.86692624 4547519.785550499, -13628007.48113516 4547518.509603381, -13628054.27899843 4547521.381182068, -13628068.48559427 4547643.660660785, -13628090.28166905 4547646.569067985, -13628111.33792534 4547664.3675773, -13628114.08130835 4547677.392393797))",69468.3810145074,0.21176465544467135
5,06075011901,011901,99917.44542925841,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627258.9551 4549972.067400001, -13626892.8253 4550031.372299999, -13626871.118 4549896.985899999, -13626849.9673 4549765.559399999, -13627216.8763 4549706.396899997, -13627237.6931 4549837.963500001, -13627258.9551 4549972.067400001))",99917.44542925841,1.0
6,06075010500,010500,1659731.5094995191,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"MULTIPOLYGON (((-13625571.11425946 4550691.682866155, -13625581.4817 4550756.863399996, -13625732.8762 4550859.422300003, -13625775.1776 4551123.8543, -13625787.90809943 4551205.06654276, -13625773.7885061 4551201.864879486, -13625780.36054562 4551244.400085839, -13625784.55042274 4551268.953649392, -13625801.21391596 4551375.623389785, -13625670.34135351 4551395.225197445, -13625683.66085312 4551479.783463379, -13625536.62522078 4551511.180132173, -13625453.72338643 4551381.855097366, -13625247.15583598 4551092.12518056, -13625190.32214762 4551010.981133776, -13625240.27526994 4550999.886298593, -13625223.22812716 4550901.136707326, -13625186.58245414 4550908.601289858, -13625192.7342832 4550981.454118762, -13625095.52210777 4550871.824244856, -13624757.21817845 4550384.445457546, -13624686.67373008 4550294.794431077, -13624704.40297016 4550277.00552377, -13624746.5855 4550257.184799998, -13624921.0231 4550433.273999996, -13625095.4608 4550272.257899999, -13625125.6284 4550448.488300001, -13625522.2597 4550384.5322, -13625554.45679824 4550586.956708217, -13625539.96608284 4550589.687224745, -13625542.7338632 4550623.679494871, -13625557.29550258 4550692.565900159, -13625571.11425946 4550691.682866155)), ((-13626051.41436678 4551692.524283447, -13626081.6401 4551881.967600003, -13625910.33638532 4551924.064477827, -13625867.49400425 4551884.964938162, -13625878.24743108 4551862.722032851, -13625999.87774103 4551837.666752509, -13626000.3319463 4551773.940784623, -13626050.23564029 4551765.985124205, -13626039.26592897 4551693.985157931, -13626051.41436678 4551692.524283447)))",607680.8419167493,0.36613201499078085
7,06075016000,016000,254222.2634578242,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627785.9127454 4548504.530431197, -13627771.9153 4548403.779799997, -13628126.2452 4548347.723599999, -13628135.50281881 4548405.62851823, -13628109.18712394 4548406.833075573, -13628113.59509723 4548458.797698092, -13627861.82055327 4548494.217831477, -13627785.9127454 4548504.530431197))",36391.153600264675,0.1431469970618919
8,06075022801,022801,925784.1383519116,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13627417.09331433 4545841.826022351, -13627418.0306 4545854.232000001, -13627435.0625 4546080.094700002, -13627399.89598697 4546083.076933291, -13627387.38593815 4545868.916268009, -13627384.86843209 4545844.287292237, -13627417.09331433 4545841.826022351))",7966.990604825164,0.008605667644088249
9,06075017802,017802,817570.5931217977,0,-1,0,0,1,110827955.33,74205.3698609,False,16514826.480895558,"POLYGON ((-13626970.7489 4547688.311199998, -13626797.6471 4547861.399400003, -13626550.6292 4548108.7135, -13626302.6093 4548356.878499999, -13626142.3093 4548517.301600001, -13626054.8121 4548604.908600003, -13625882.7122 4548430.962899997, -13625710.8349 4548257.301899999, -13625958.7434 4548009.561800002, -13626453.6699 4547514.803400002, -13626894.9403 4547074.005099996, -13627237.9157 4547421.994800001, -13626970.7489 4547688.311199998))",817570.5931217977,1.0
